АБ305;Свитер женский;158-164- 84- 90;;Ламслук;Акрил 90%, Шерсть 10%;зима;НЕТ;1;55;66
АБ315;Брюки женские;170-176-104-110;;Лен;Хлопок 40%, ПЭ 40% Лен 20%;лето;Stoll CMS 530HP multi dangle класс E 6.2;4;38;45,6
АБ320;Свитер женский;158-164-100-106;;Вискоза;Акрил 60%, Вискоза 25% ПЭ 15%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;56;67,2
АБ321;Брюки женские;158-164- 96-102;;Вискоза;Акрил 60%, Вискоза 25% ПЭ 15%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;52;62,4
АБ321А;Брюки женские;158-164- 84- 90;;Вискоза;Акрил 60%, Вискоза 25% ПЭ 15%;НЕТ;НЕТ;1;47;56,4
АБ324;Джемпер женский;170-176- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;НЕТ;1;53;63,6
АБ327;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 49%, ПАН 48%, Метанит 3%;лето;НЕТ;2;27;32,4
АБ330;Джемпер женский;158-164- 92- 98;;Х/Б;Хлопок 49%, ПАН 48%, Метанит 3%;демисезонный вязаное;НЕТ;1;33;39,6
АБ339;Кардиган женский;158-164- 92- 98;;ПАН;ПАН 100%;демисезонный вязаное;НЕТ;1;32;38,4
АБ344;Джемпер женский;158-164- 96-102;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;38;45,6
АБ345;Джемпер женский;158-164- 84- 90;;Х/Б;<>;НЕТ;НЕТ;1;47;56,4
АБ346;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 50%  ПАН 50%;лето;НЕТ;1;32;38,4
АБ358;Жакет женский;158-164- 84- 90;;Лен;ПАН 46%, Хлопок 22%, ПЭ 21%, Лен 11%;лето;Stoll CMS 433TC класс 5;1;31;37,2
АБ372;Свитер женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 6.2;1;43;51,6
АБ372;Свитер женский;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 6.2;1;43;51,6
АБ373;Джемпер женский;158-164- 96-102;;Ламслук;<>;заказы;НЕТ;1;17;20,4
АБ401;Юбка женская;158-164- 84- 90;;Х/Б;Хлопок 50%  ПАН 50%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;27;32,4
АБ402;Джемпер женский;158-164-104-110;;Х/Б;Хлопок 48%, ПАН 48% Метанит 4%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;35;42
АБ404;Жилет женский;158-164- 96-102;;Х/Б;Хлопок 47%, ПАН 47%, Метанит 6%;лето;НЕТ;3;31;37,2
АБ406;Свитер женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 2,5.2;3;37;44,4
АБ407;Свитер женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;50;60
АБ407В;Свитер женский;158-164- 84- 90;;Вискоза;Вискоза 82%, ПЭ 18%;НЕТ;Stoll CMS 530HP multi dangle класс E 6.2;1;70;84
АБ410;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 50%  ПАН 50%;заказы;НЕТ;1;14;16,8
АБ410;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;заказы;НЕТ;1;14;16,8
АБ411;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;заказы;НЕТ;1;35;42
АБ412;Джемпер женский;170-176- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;заказы;Stoll CMS 530HP multi dangle класс E 6.2;1;35;42
АБ418ЛХ;Платье женское;158-164- 88- 94;;Хлопок ;<>;НЕТ;НЕТ;1;33,33;40
